% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 11
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       52.648382
         2       47.642675
         3       47.333206
         4       47.550182
         5       47.176968
         6       46.178781
         7       45.769997
         8       45.918043
         9       45.859338
        10       45.474630
        11       44.886583
        12       43.886121
        13       42.483993
        14       41.131838
        15       39.638270
        16       37.329775
        17       35.681875
        18       34.165826
        19       33.012426
        20       31.979248
        21       31.277969
        22       30.607659
        23       30.742960
        24       30.353357
        25       30.190224
        26       30.366759
        27       30.552757
        28       30.731737
        29       30.994301
        30       31.127161
        31       31.154292
        32       31.262728
        33       31.139228
        34       31.174575
        35       30.653273
        36       29.809762
        37       28.090962
        38       25.534307
        39       23.407261
        40       20.786992
        41       19.528308
        42       17.467759
        43       16.616891
        44       16.080428
        45       15.934147
        46       16.090445
        47       16.398109
        48       16.509739
        49       16.716469
        50       16.714621
        51       16.342486
        52       15.688771
        53       14.737057
        54       13.997724
        55       13.322316
        56       13.120265
        57       13.234138
        58       13.591632
        59       14.061119
        60       14.686615
        61       15.374868
        62       16.316516
        63       17.371298
        64       18.125549
        65       17.017850
        66       14.092005
        67       10.965842
        68        8.310059
        69        6.143510
        70        4.722814
        71        3.818765
        72        4.224240
        73        5.270517
        74        7.344613
        75       11.089453
        76       17.424500
