% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 54
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
%  N_blocks       FE_kJ/mol
         1       50.954005
         2       45.948313
         3       45.638929
         4       45.856938
         5       45.487120
         6       44.510463
         7       44.132775
         8       44.290657
         9       44.232875
        10       43.844265
        11       43.252145
        12       42.235894
        13       40.815310
        14       39.453135
        15       37.953521
        16       35.640269
        17       33.991420
        18       32.475193
        19       31.322150
        20       30.290776
        21       29.593770
        22       28.928700
        23       29.077755
        24       28.699728
        25       28.551920
        26       28.755738
        27       28.967919
        28       29.161864
        29       29.433383
        30       29.499592
        31       29.424905
        32       28.945010
        33       29.038030
        34       29.442217
        35       29.545676
        36       29.704246
        37       29.622323
        38       28.735252
        39       27.442824
        40       25.428075
        41       24.376345
        42       22.556539
        43       21.804252
        44       21.316287
        45       21.205244
        46       21.371306
        47       21.657232
        48       21.564297
        49       21.615164
        50       21.056044
        51       20.802889
        52       20.226321
        53       19.564262
        54       19.013719
        55       18.409085
        56       18.221727
        57       18.302024
        58       18.565142
        59       18.858971
        60       19.139734
        61       19.280796
        62       19.613176
        63       19.746906
        64       19.483248
        65       17.316667
        66       14.075278
        67       10.889446
        68        8.215102
        69        6.032260
        70        4.598733
        71        3.661963
        72        4.063672
        73        5.101736
        74        7.181695
        75       10.928661
        76       17.268257
