% Free Energy Profile
% Temperature: 310 K
% Wild Type% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
%  N_blocks       FE_kJ/mol
         1       57.849332
         2       52.843625
         3       52.534155
         4       52.751129
         5       52.377915
         6       51.379724
         7       50.970882
         8       51.118938
         9       51.060274
        10       50.675583
        11       50.087535
        12       49.087082
        13       47.684960
        14       46.332804
        15       44.839230
        16       42.530728
        17       40.882826
        18       39.366775
        19       38.213375
        20       37.180195
        21       36.478912
        22       35.808594
        23       35.943800
        24       35.554095
        25       35.389787
        26       35.565585
        27       35.749188
        28       35.922064
        29       36.151499
        30       36.197682
        31       36.111877
        32       35.633529
        33       35.588670
        34       35.691942
        35       35.351985
        36       34.713549
        37       33.168903
        38       30.694733
        39       28.589046
        40       25.978761
        41       24.721775
        42       22.664698
        43       21.814543
        44       21.278831
        45       21.131507
        46       21.284772
        47       21.565200
        48       21.475169
        49       21.519219
        50       20.961769
        51       20.733720
        52       20.173199
        53       19.546735
        54       18.997067
        55       18.404169
        56       18.211818
        57       18.288562
        58       18.538346
        59       18.820761
        60       19.087865
        61       19.237652
        62       19.562807
        63       19.707820
        64       19.429033
        65       17.248133
        66       14.005711
        67       10.822150
        68        8.150420
        69        5.978935
        70        4.559473
        71        3.675337
        72        4.082025
        73        5.143965
        74        7.219774
        75       10.965041
        76       17.296515
